Time_Frame,TM_Srvc_Type,Time_Frame_Yr,Time_Frame_Mth,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,TM_Bene_Cnt,Tot_Bene_Cnt,TM_Bene_Pct
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,Aged,All,All,26682,331535,8.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,65-74,All,14398,177040,8.1% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,75-84,All,9391,116905,8.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,85 and over,All,3255,42856,7.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,All,All,36027,428008,8.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,All,Rural,8649,118448,7.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,All,Urban,27287,308130,8.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,All,Less than 65,All,8983,91207,9.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,Disabled,All,All,8654,86456,10.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,All,ESRD,All,All,691,10017,6.9% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,Female,All,All,All,22978,249947,9.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,All,Male,All,All,All,13049,178061,7.3% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,American Indian / Alaska Native,All,All,All,All,38,386,9.8% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,Asian,All,All,All,All,114,1585,7.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,Black/African American,All,All,All,All,8192,102975,8.0% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,Hispanic,All,All,All,All,267,3101,8.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,White,All,All,All,All,27090,316020,8.6% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,Medicare & Medicaid,All,All,All,All,All,9352,113734,8.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,Medicare Only,All,All,All,All,All,26675,314274,8.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,Aged,All,All,2960,21911,13.5% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,65-74,All,1763,12407,14.2% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,75-84,All,936,7366,12.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,85 and over,All,284,2427,11.7% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,All,All,3780,26263,14.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,All,Rural,1781,12363,14.4% 
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,All,Unknown,,,
